objectid,filename,youtubeid,title,format,description,creator,publisher,relation,date,mediatype,subject,location,latitude,longitude,original-identifier,identifier,rights,rightsstatement,type,language
khs001,,AAKzNlD2Sg8,Teaching impulse control with Naomi,video/mp4,"Naomi from Praiseworthy Pets works with two dogs, Kensey and Sausage, on waiting for their name to be called before accepting a treat.","Benedett, Barbara",,Benedett family collection of Sausage memorabilia,2018-07-20,youtube video,Dogs--Training,"Philadelphia, PA",,,,khs001-BFCS,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,moving image,eng
khs002,,rbkCVrYcmbA,Resource Guarding: Kensey wont let Sausage on couch,video/mp4,"After adopting Sausage, the dogs struggled with sharing resources. Here, Kensey is trying to guard the couch and her owner from Sausage. Sausage feels uncomfortable. This video was taken as an example of dog behavior to inform the trainer. No dogs were injured or endangered in the making of this video.","Benedett, Barbara",,Benedett family collection of Sausage memorabilia,2018-10-27,youtube video,Dogs--Training,"Philadelphia, PA",,,,khs002-BFCS,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,moving image,eng
khs003,,2rIqHwX6Fks,Resource sharing: bones,video/mp4,The dogs are praised for sharing bones and relaxed behavior. At the 00:03:15 mark, Sausage steals Kensey's bone and Kensey remains calm.,"Benedett, Barbara",,Benedett family collection of Sausage memorabilia,2020-05-06,youtube video,Dogs--Training,"Philadelphia, PA",,,,khs003-BFCS,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0//,moving image,eng
khs004,,v_Y-7zzD-GQ,"Demonstrating ""leave it"" command",video/mp4,"Kensey gets a reward after a visit to the vet. She demonstrates the ""leave it"" command, waiting until her owner says ""OK"" before eating the hot dog.","Benedett, Barbara",,Benedett family collection of Kensey memorabilia,2017-06-14,youtube video,Dogs--Training,"Philadelphia, PA",,,,khs004-BFCK,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,moving image,eng
khs005,,Wtp1ZUJAhgE,Sausage's squeaky heart bone,video/mp4,Sausage shows off his favorite toy.,"Benedett, Barbara",,Benedett family collection of Sausage memorabilia,2019-03-10,youtube video,Pit bull terriers; Land seals,"Philadelphia, PA",,,,khs005-BFCS,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,moving image,eng
khs006,,-W9pMma4LG4,Kensey plays with hose,video/mp4,Kensey plays with the garden hose on a hot day.,"Benedett, Barbara",,Benedett family collection of Kensey memorabilia,2015-07-20,youtube video,,"Philadelphia, PA",,,,khs006-BFCK,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,moving image,eng
khs007,banish_ bulldogs-washington_ herald-1911.pdf,,"""Banish Bulldogs says Mr. Gordon""",application/pdf,"Letter to city commissioners urging ban on bull dogs, printed in The Washington Herald, Friday, September, 29, 1911, p. 6.","Gordon, Fulton R., 1867-;",,"The Washington Herald (Washington, D.C.) 1906 to 1939, Library of Congress Newspaper Collection",1911-09-29,newspapers,"District of Columbia; Gordon, Fulton R., 1867-; Newspapers; Pit bull terriers--History","Washington, D.C.",35.56133644627034,-77.05516123301422,sn83045433,khs007-BBRH,"Public Domain, United States",http://rightsstatements.org/vocab/NoC-US/1.0/,text,eng
khs008,pit_bull_with_baby_1892.jpg,,Pit Bull with baby,image/jpeg,"Photograph of infant with ""nanny dog"" Pit Bull Terrier.",,,Bully Breed Resources: Historical,1892,photographs,Pit bull terriers--History,,,,,khs008-BBRH,"Public Domain, United States",http://rightsstatements.org/vocab/NoC-US/1.0/,still image,eng
khs009,ww1_poster_pit_bull.jpg,,"""Watchful Waiting""",image/jpeg,WWI poster with American Pit Bull Terrier as symbol of United States.,,,Bully Breed Resources: Historical,1910,advertisements,"Pit bull terriers--History; World War, 1914-1918--United States",,,,,khs009-BBRH,"Public Domain, United States",http://rightsstatements.org/vocab/NoC-US/1.0/,still image,eng
khs010,sgt_stubby.jpg,,"Sgt. Stubby, decorated mascot of the 102nd Infantry, 26th Yankee Division",image/jpeg,"Found as a puppy by Private J. Robert Conroy in 1917, Stubby became the mascot of the 102nd Infantry, 26th Yankee Division. He learned the bugle calls, the drills, and even a modified salute (he put his right paw to his eyebrow). Stubby's positive effect on morale allowed him to remain in the camp, even though animals were forbidden. The division shipped out for France aboard the SS Minnesota. Private Conroy smuggled Stubby aboard, and when the Yankee Division headed for the front lines in February of 1918, Stubby accompanied the men as their mascot. He became accustomed to the loud rifles and heavy artillery fire. An injury from gas exposure left him sensitive to traces of gas. When the division was attacked in an early morning gas launch, Stubby recognized the gas and roused soldiers, saving many from harm. Stubby even caught a German soldier mapping out the layout of the Allied trenches. Stubby bit him on the legs, causing the soldier to trip and fall. He continued to attack until U.S. soldiers arrived. For capturing a spy, Stubby was promoted to the rank of sergeant becoming the first dog to be given rank in the United States Armed Forces. Later, Stubby was injured during a grenade attack. He was transferred to a Red Cross recovery hospital for surgery, and when well enough to move around, he visited wounded soldiers. Stubby served in seventeen battles. He visited the White House meeting Presidents Harding and Coolidge. He was awarded medals for heroism, and after the war, became the mascot of the Georgetown Hoyas. He died in 1926. Photograph of stuffed dog.",,,"Armed Forces History, Division of History of Technology, National Museum of American History",1926,photographs,"Dogs--war use; Pit bull terriers--History; World War, 1914-1918--United States",,38.895677955892886,-77.02911429073295,AF.58280M,khs010-BBRH,"Public Domain, United States",http://rightsstatements.org/vocab/NoC-US/1.0//,still image,eng
khs011,new_dog_flyer.pdf,,A New Dog in the House! From Shelter Dog to Beloved Family Member,application/pdf,Informational flyer for Pit Bull adopters from badrap.org.,badrap.org,,Bully Breed Resources: Ownership and Training,,flyers,Pet adoption; Pit bull terriers--Training,,,,,khs011-BBROT,"Public Domain, United States",http://rightsstatements.org/vocab/NoC-US/1.0//,text,eng
khs012,pet_friendly_apartment_search.pdf,,Pet Friendly Apartment Search Working Sheet,application/pdf,Informational flyer for Pit Bull owners on successful apartment searching from badrap.org.,badrap.org,,Bully Breed Resources: Ownership and Training,,flyers,Pit bull terriers,,,,,khs012-BBROT,"Public Domain, United States",http://rightsstatements.org/vocab/NoC-US/1.0///,text,eng
khs013,saved-me-adoption-application-2021.pdf,,"Adoption Application, Saved Me Rescue",application/pdf,Adoption application from Saved Me animal rescue.,Saved Me Rescue,,Bully Breed Resources: Ownership and Training,2021,blank forms,Pet adoption; Animal rescue,"Philadelphia, PA",39.93909674922212,-75.18730070213243,,khs013-BBROT,"Public Domain, United States",http://rightsstatements.org/vocab/NoC-US/1.0////,text,eng
